Time,Top Freq,Cur Freq,Perf Lost,Utilization,Max Temp,Cur Temp,Max Power,Cur Power,Fan
2018-05-15_14:08:38,4200 MHz,2117.0 MHz,0 (N/A) run sudo,0.0 %,34.0 C,34.0 C,24.0 W,23.9 W,0.0 RPM
2018-05-15_14:08:39,4200 MHz,2207.0 MHz,0 (N/A) run sudo,33.3 %,34.0 C,34.0 C,37.0 W,36.9 W,0.0 RPM
2018-05-15_14:08:40,4200 MHz,822.0 MHz,0 (N/A) run sudo,1.6 %,34.0 C,31.0 C,37.0 W,5.8 W,0.0 RPM
2018-05-15_14:08:41,4200 MHz,931.0 MHz,0 (N/A) run sudo,4.0 %,34.0 C,31.0 C,37.0 W,7.3 W,0.0 RPM
2018-05-15_14:08:42,4200 MHz,908.0 MHz,0 (N/A) run sudo,1.6 %,34.0 C,31.0 C,37.0 W,4.9 W,0.0 RPM
2018-05-15_14:08:43,4200 MHz,1200.0 MHz,0 (N/A) run sudo,1.6 %,34.0 C,31.0 C,37.0 W,4.9 W,0.0 RPM
2018-05-15_14:08:44,4200 MHz,1000.0 MHz,0 (N/A) run sudo,1.2 %,34.0 C,31.0 C,37.0 W,5.0 W,0.0 RPM
2018-05-15_14:08:45,4200 MHz,1264.0 MHz,0 (N/A) run sudo,2.0 %,34.0 C,31.0 C,37.0 W,5.7 W,0.0 RPM
2018-05-15_14:08:46,4200 MHz,1316.0 MHz,0 (N/A) run sudo,4.7 %,34.0 C,31.0 C,37.0 W,5.4 W,0.0 RPM
2018-05-15_14:08:47,4200 MHz,1046.0 MHz,0 (N/A) run sudo,3.1 %,34.0 C,31.0 C,37.0 W,5.0 W,0.0 RPM
2018-05-15_14:08:48,4200 MHz,817.0 MHz,0 (N/A) run sudo,2.2 %,34.0 C,31.0 C,37.0 W,5.1 W,0.0 RPM
2018-05-15_14:08:49,4200 MHz,904.0 MHz,0 (N/A) run sudo,2.2 %,34.0 C,31.0 C,37.0 W,5.8 W,0.0 RPM
2018-05-15_14:08:50,4200 MHz,891.0 MHz,0 (N/A) run sudo,2.0 %,34.0 C,31.0 C,37.0 W,4.9 W,0.0 RPM
2018-05-15_14:08:51,4200 MHz,1416.0 MHz,0 (N/A) run sudo,2.0 %,34.0 C,31.0 C,37.0 W,5.8 W,0.0 RPM
2018-05-15_14:08:52,4200 MHz,1030.0 MHz,0 (N/A) run sudo,1.7 %,34.0 C,31.0 C,37.0 W,4.8 W,0.0 RPM
2018-05-15_14:08:53,4200 MHz,1211.0 MHz,0 (N/A) run sudo,2.0 %,34.0 C,30.0 C,37.0 W,4.7 W,0.0 RPM
2018-05-15_14:08:54,4200 MHz,947.0 MHz,0 (N/A) run sudo,1.7 %,34.0 C,31.0 C,37.0 W,4.8 W,0.0 RPM
2018-05-15_14:08:55,4200 MHz,1015.0 MHz,0 (N/A) run sudo,1.9 %,34.0 C,30.0 C,37.0 W,4.6 W,0.0 RPM
2018-05-15_14:08:56,4200 MHz,1706.0 MHz,0 (N/A) run sudo,1.6 %,34.0 C,30.0 C,37.0 W,5.6 W,0.0 RPM
2018-05-15_14:08:57,4200 MHz,1493.0 MHz,0 (N/A) run sudo,1.5 %,34.0 C,30.0 C,37.0 W,5.9 W,0.0 RPM
2018-05-15_14:08:58,4200 MHz,1658.0 MHz,0 (N/A) run sudo,1.7 %,34.0 C,30.0 C,37.0 W,5.6 W,0.0 RPM
2018-05-15_14:09:00,4200 MHz,1859.0 MHz,0 (N/A) run sudo,1.2 %,34.0 C,30.0 C,37.0 W,5.6 W,0.0 RPM
2018-05-15_14:09:01,4200 MHz,1513.0 MHz,0 (N/A) run sudo,1.5 %,34.0 C,31.0 C,37.0 W,4.9 W,0.0 RPM
2018-05-15_14:09:02,4200 MHz,2350.0 MHz,0 (N/A) run sudo,2.6 %,34.0 C,31.0 C,37.0 W,5.7 W,0.0 RPM
2018-05-15_14:09:03,4200 MHz,4048.0 MHz,0 (N/A) run sudo,16.1 %,42.0 C,42.0 C,37.0 W,25.4 W,0.0 RPM
2018-05-15_14:09:04,4200 MHz,3999.0 MHz,0 (N/A) run sudo,55.3 %,48.0 C,48.0 C,47.0 W,46.6 W,0.0 RPM
2018-05-15_14:09:05,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.9 %,48.0 C,48.0 C,54.0 W,53.7 W,0.0 RPM
2018-05-15_14:09:06,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.8 %,48.0 C,48.0 C,54.0 W,53.8 W,0.0 RPM
2018-05-15_14:09:07,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.2 %,50.0 C,50.0 C,54.0 W,53.8 W,0.0 RPM
2018-05-15_14:09:08,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.0 %,50.0 C,50.0 C,54.0 W,53.8 W,0.0 RPM
2018-05-15_14:09:09,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.4 %,50.0 C,50.0 C,54.0 W,53.7 W,0.0 RPM
2018-05-15_14:09:10,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.0 %,50.0 C,50.0 C,54.0 W,53.8 W,0.0 RPM
2018-05-15_14:09:11,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.2 %,50.0 C,49.0 C,54.0 W,54.0 W,0.0 RPM
2018-05-15_14:09:12,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.0 %,51.0 C,51.0 C,54.0 W,53.8 W,0.0 RPM
2018-05-15_14:09:13,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.5 %,51.0 C,51.0 C,54.0 W,53.7 W,0.0 RPM
2018-05-15_14:09:14,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.7 %,51.0 C,49.0 C,54.0 W,53.8 W,0.0 RPM
2018-05-15_14:09:15,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.7 %,51.0 C,49.0 C,54.0 W,53.9 W,0.0 RPM
2018-05-15_14:09:16,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.9 %,51.0 C,49.0 C,54.0 W,54.0 W,0.0 RPM
2018-05-15_14:09:17,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.2 %,52.0 C,52.0 C,54.0 W,53.6 W,0.0 RPM
2018-05-15_14:09:18,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.2 %,52.0 C,52.0 C,54.0 W,54.0 W,0.0 RPM
2018-05-15_14:09:19,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.0 %,52.0 C,52.0 C,54.0 W,53.9 W,0.0 RPM
2018-05-15_14:09:20,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.5 %,52.0 C,49.0 C,54.0 W,53.9 W,0.0 RPM
2018-05-15_14:09:21,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.2 %,52.0 C,52.0 C,54.0 W,53.9 W,0.0 RPM
2018-05-15_14:09:22,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.1 %,52.0 C,50.0 C,54.0 W,53.9 W,0.0 RPM
2018-05-15_14:09:23,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.5 %,53.0 C,53.0 C,54.0 W,53.9 W,0.0 RPM
2018-05-15_14:09:24,4200 MHz,4021.0 MHz,0 (N/A) run sudo,42.3 %,53.0 C,53.0 C,54.0 W,40.8 W,0.0 RPM
2018-05-15_14:09:25,4200 MHz,1090.0 MHz,0 (N/A) run sudo,2.8 %,53.0 C,35.0 C,54.0 W,9.7 W,0.0 RPM
2018-05-15_14:09:26,4200 MHz,1277.0 MHz,0 (N/A) run sudo,1.9 %,53.0 C,34.0 C,54.0 W,9.2 W,0.0 RPM
2018-05-15_14:09:27,4200 MHz,1659.0 MHz,0 (N/A) run sudo,2.6 %,53.0 C,32.0 C,54.0 W,7.3 W,0.0 RPM
2018-05-15_14:09:28,4200 MHz,1644.0 MHz,0 (N/A) run sudo,1.4 %,53.0 C,33.0 C,54.0 W,7.1 W,0.0 RPM
2018-05-15_14:09:29,4200 MHz,1417.0 MHz,0 (N/A) run sudo,1.4 %,53.0 C,32.0 C,54.0 W,5.9 W,0.0 RPM
2018-05-15_14:09:30,4200 MHz,1737.0 MHz,0 (N/A) run sudo,0.7 %,53.0 C,33.0 C,54.0 W,6.9 W,0.0 RPM
2018-05-15_14:09:31,4200 MHz,4036.0 MHz,0 (N/A) run sudo,17.1 %,53.0 C,41.0 C,54.0 W,24.4 W,0.0 RPM
2018-05-15_14:09:32,4200 MHz,3999.0 MHz,0 (N/A) run sudo,38.5 %,53.0 C,51.0 C,54.0 W,38.6 W,0.0 RPM
2018-05-15_14:09:33,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.5 %,53.0 C,49.0 C,54.0 W,53.9 W,0.0 RPM
2018-05-15_14:09:34,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.7 %,53.0 C,51.0 C,54.0 W,53.9 W,0.0 RPM
2018-05-15_14:09:35,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.8 %,53.0 C,53.0 C,54.0 W,53.9 W,0.0 RPM
2018-05-15_14:09:36,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.6 %,53.0 C,50.0 C,54.0 W,53.9 W,0.0 RPM
2018-05-15_14:09:37,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.4 %,53.0 C,52.0 C,55.0 W,54.1 W,0.0 RPM
2018-05-15_14:09:38,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.9 %,53.0 C,52.0 C,55.0 W,54.1 W,0.0 RPM
2018-05-15_14:09:39,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.3 %,53.0 C,51.0 C,55.0 W,54.1 W,0.0 RPM
2018-05-15_14:09:40,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.3 %,53.0 C,50.0 C,55.0 W,53.9 W,0.0 RPM
2018-05-15_14:09:41,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.2 %,53.0 C,53.0 C,55.0 W,54.2 W,0.0 RPM
2018-05-15_14:09:42,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.6 %,53.0 C,52.0 C,55.0 W,54.0 W,0.0 RPM
2018-05-15_14:09:43,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.2 %,53.0 C,52.0 C,55.0 W,54.0 W,0.0 RPM
