Time,Top Freq,Cur Freq,Perf Lost,Utilization,Max Temp,Cur Temp,Max Power,Cur Power,Fan
2018-05-15_13:47:53,4200 MHz,2109.0 MHz,0 (N/A) run sudo,25.0 %,38.0 C,38.0 C,23.0 W,22.6 W,0.0 RPM
2018-05-15_13:47:54,4200 MHz,2109.0 MHz,0 (N/A) run sudo,0.0 %,38.0 C,38.0 C,25.0 W,24.5 W,0.0 RPM
2018-05-15_13:47:55,4200 MHz,1517.0 MHz,0 (N/A) run sudo,1.0 %,38.0 C,29.0 C,25.0 W,5.2 W,0.0 RPM
2018-05-15_13:47:56,4200 MHz,1170.0 MHz,0 (N/A) run sudo,3.7 %,38.0 C,28.0 C,25.0 W,6.5 W,0.0 RPM
2018-05-15_13:47:57,4200 MHz,1235.0 MHz,0 (N/A) run sudo,1.4 %,38.0 C,28.0 C,25.0 W,5.2 W,0.0 RPM
2018-05-15_13:47:58,4200 MHz,872.0 MHz,0 (N/A) run sudo,1.6 %,38.0 C,29.0 C,25.0 W,5.2 W,0.0 RPM
2018-05-15_13:47:59,4200 MHz,1063.0 MHz,0 (N/A) run sudo,1.6 %,38.0 C,29.0 C,25.0 W,5.0 W,0.0 RPM
2018-05-15_13:48:00,4200 MHz,1275.0 MHz,0 (N/A) run sudo,1.5 %,38.0 C,29.0 C,25.0 W,5.2 W,0.0 RPM
2018-05-15_13:48:01,4200 MHz,1201.0 MHz,0 (N/A) run sudo,3.0 %,38.0 C,29.0 C,25.0 W,5.9 W,0.0 RPM
2018-05-15_13:48:02,4200 MHz,1435.0 MHz,0 (N/A) run sudo,1.5 %,38.0 C,28.0 C,25.0 W,4.8 W,0.0 RPM
2018-05-15_13:48:03,4200 MHz,1070.0 MHz,0 (N/A) run sudo,2.1 %,38.0 C,29.0 C,25.0 W,5.2 W,0.0 RPM
2018-05-15_13:48:04,4200 MHz,837.0 MHz,0 (N/A) run sudo,2.6 %,38.0 C,29.0 C,25.0 W,4.8 W,0.0 RPM
2018-05-15_13:48:05,4200 MHz,1214.0 MHz,0 (N/A) run sudo,1.2 %,38.0 C,29.0 C,25.0 W,4.9 W,0.0 RPM
2018-05-15_13:48:06,4200 MHz,1162.0 MHz,0 (N/A) run sudo,1.4 %,38.0 C,29.0 C,25.0 W,6.4 W,0.0 RPM
2018-05-15_13:48:07,4200 MHz,1260.0 MHz,0 (N/A) run sudo,5.1 %,38.0 C,29.0 C,25.0 W,6.3 W,0.0 RPM
2018-05-15_13:48:08,4200 MHz,1292.0 MHz,0 (N/A) run sudo,3.1 %,38.0 C,28.0 C,25.0 W,5.5 W,0.0 RPM
2018-05-15_13:48:09,4200 MHz,1388.0 MHz,0 (N/A) run sudo,1.5 %,38.0 C,29.0 C,25.0 W,5.1 W,0.0 RPM
2018-05-15_13:48:10,4200 MHz,1052.0 MHz,0 (N/A) run sudo,3.4 %,38.0 C,29.0 C,25.0 W,5.8 W,0.0 RPM
2018-05-15_13:48:11,4200 MHz,1444.0 MHz,0 (N/A) run sudo,3.3 %,38.0 C,29.0 C,25.0 W,5.7 W,0.0 RPM
2018-05-15_13:48:12,4200 MHz,1187.0 MHz,0 (N/A) run sudo,3.7 %,38.0 C,29.0 C,25.0 W,5.4 W,0.0 RPM
2018-05-15_13:48:13,4200 MHz,1333.0 MHz,0 (N/A) run sudo,1.7 %,38.0 C,30.0 C,25.0 W,5.3 W,0.0 RPM
2018-05-15_13:48:14,4200 MHz,1233.0 MHz,0 (N/A) run sudo,1.3 %,38.0 C,29.0 C,25.0 W,5.6 W,0.0 RPM
2018-05-15_13:48:15,4200 MHz,1042.0 MHz,0 (N/A) run sudo,1.4 %,38.0 C,29.0 C,25.0 W,5.0 W,0.0 RPM
2018-05-15_13:48:16,4200 MHz,1548.0 MHz,0 (N/A) run sudo,4.1 %,38.0 C,29.0 C,25.0 W,6.4 W,0.0 RPM
2018-05-15_13:48:17,4200 MHz,1319.0 MHz,0 (N/A) run sudo,1.6 %,38.0 C,29.0 C,25.0 W,5.3 W,0.0 RPM
2018-05-15_13:48:18,4200 MHz,1521.0 MHz,0 (N/A) run sudo,0.9 %,38.0 C,28.0 C,25.0 W,5.3 W,0.0 RPM
2018-05-15_13:48:19,4200 MHz,4026.0 MHz,0 (N/A) run sudo,12.6 %,38.0 C,35.0 C,25.0 W,17.4 W,0.0 RPM
2018-05-15_13:48:20,4200 MHz,3999.0 MHz,0 (N/A) run sudo,29.1 %,49.0 C,49.0 C,34.0 W,33.7 W,0.0 RPM
2018-05-15_13:48:21,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.1 %,49.0 C,49.0 C,54.0 W,53.1 W,0.0 RPM
2018-05-15_13:48:22,4200 MHz,4000.0 MHz,0 (N/A) run sudo,65.5 %,49.0 C,46.0 C,54.0 W,53.2 W,0.0 RPM
