Time,Top Freq,Cur Freq,Perf Lost,Utilization,Max Temp,Cur Temp,Max Power,Cur Power,Fan
2018-05-15_13:52:11,4200 MHz,2444.0 MHz,0 (N/A) run sudo,0.0 %,32.0 C,32.0 C,24.0 W,23.2 W,0.0 RPM
2018-05-15_13:52:12,4200 MHz,2444.0 MHz,0 (N/A) run sudo,0.0 %,32.0 C,32.0 C,25.0 W,24.9 W,0.0 RPM
2018-05-15_13:52:13,4200 MHz,1253.0 MHz,0 (N/A) run sudo,4.5 %,32.0 C,30.0 C,25.0 W,7.0 W,0.0 RPM
2018-05-15_13:52:14,4200 MHz,4026.0 MHz,0 (N/A) run sudo,8.6 %,38.0 C,38.0 C,25.0 W,11.7 W,0.0 RPM
2018-05-15_13:52:15,4200 MHz,4026.0 MHz,0 (N/A) run sudo,13.2 %,38.0 C,38.0 C,26.0 W,25.6 W,0.0 RPM
2018-05-15_13:52:16,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.4 %,46.0 C,46.0 C,53.0 W,52.8 W,0.0 RPM
2018-05-15_13:52:17,4200 MHz,3999.0 MHz,0 (N/A) run sudo,66.1 %,47.0 C,47.0 C,54.0 W,53.5 W,0.0 RPM
2018-05-15_13:52:18,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.2 %,47.0 C,47.0 C,54.0 W,53.4 W,0.0 RPM
2018-05-15_13:52:19,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.7 %,50.0 C,50.0 C,54.0 W,53.6 W,0.0 RPM
2018-05-15_13:52:20,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.5 %,50.0 C,47.0 C,54.0 W,53.6 W,0.0 RPM
2018-05-15_13:52:21,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.5 %,50.0 C,48.0 C,54.0 W,53.5 W,0.0 RPM
2018-05-15_13:52:22,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.3 %,50.0 C,48.0 C,54.0 W,53.7 W,0.0 RPM
2018-05-15_13:52:23,4200 MHz,3999.0 MHz,0 (N/A) run sudo,64.9 %,50.0 C,48.0 C,54.0 W,53.5 W,0.0 RPM
2018-05-15_13:52:24,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.1 %,50.0 C,49.0 C,54.0 W,53.4 W,0.0 RPM
2018-05-15_13:52:25,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.5 %,50.0 C,48.0 C,54.0 W,53.6 W,0.0 RPM
2018-05-15_13:52:26,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.3 %,50.0 C,48.0 C,54.0 W,53.6 W,0.0 RPM
2018-05-15_13:52:27,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.3 %,50.0 C,48.0 C,54.0 W,53.5 W,0.0 RPM
2018-05-15_13:52:28,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.6 %,50.0 C,49.0 C,54.0 W,53.5 W,0.0 RPM
2018-05-15_13:52:29,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.3 %,50.0 C,49.0 C,54.0 W,53.6 W,0.0 RPM
2018-05-15_13:52:30,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.3 %,53.0 C,53.0 C,54.0 W,53.6 W,0.0 RPM
2018-05-15_13:52:31,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.5 %,53.0 C,50.0 C,54.0 W,53.6 W,0.0 RPM
2018-05-15_13:52:32,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.6 %,53.0 C,49.0 C,54.0 W,53.6 W,0.0 RPM
2018-05-15_13:52:33,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.3 %,53.0 C,49.0 C,54.0 W,53.7 W,0.0 RPM
2018-05-15_13:52:34,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.4 %,53.0 C,49.0 C,54.0 W,53.6 W,0.0 RPM
2018-05-15_13:52:35,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.4 %,53.0 C,52.0 C,54.0 W,53.8 W,0.0 RPM
2018-05-15_13:52:36,4200 MHz,1200.0 MHz,0 (N/A) run sudo,18.1 %,53.0 C,34.0 C,54.0 W,18.9 W,0.0 RPM
2018-05-15_13:52:37,4200 MHz,827.0 MHz,0 (N/A) run sudo,2.3 %,53.0 C,33.0 C,54.0 W,7.4 W,0.0 RPM
2018-05-15_13:52:38,4200 MHz,1287.0 MHz,0 (N/A) run sudo,3.0 %,53.0 C,33.0 C,54.0 W,7.4 W,0.0 RPM
2018-05-15_13:52:39,4200 MHz,1381.0 MHz,0 (N/A) run sudo,2.9 %,53.0 C,33.0 C,54.0 W,9.3 W,0.0 RPM
2018-05-15_13:52:40,4200 MHz,2675.0 MHz,0 (N/A) run sudo,2.1 %,53.0 C,33.0 C,54.0 W,7.7 W,0.0 RPM
2018-05-15_13:52:41,4200 MHz,983.0 MHz,0 (N/A) run sudo,1.0 %,53.0 C,32.0 C,54.0 W,6.1 W,0.0 RPM
2018-05-15_13:52:42,4200 MHz,1411.0 MHz,0 (N/A) run sudo,1.4 %,53.0 C,33.0 C,54.0 W,5.9 W,0.0 RPM
2018-05-15_13:52:43,4200 MHz,4040.0 MHz,0 (N/A) run sudo,15.3 %,53.0 C,42.0 C,54.0 W,24.0 W,0.0 RPM
2018-05-15_13:52:45,4200 MHz,3999.0 MHz,0 (N/A) run sudo,43.6 %,53.0 C,51.0 C,54.0 W,41.7 W,0.0 RPM
2018-05-15_13:52:46,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.5 %,53.0 C,51.0 C,54.0 W,53.7 W,0.0 RPM
2018-05-15_13:52:47,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.2 %,53.0 C,49.0 C,54.0 W,53.8 W,0.0 RPM
2018-05-15_13:52:48,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.4 %,53.0 C,49.0 C,54.0 W,53.7 W,0.0 RPM
2018-05-15_13:52:49,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.8 %,53.0 C,50.0 C,54.0 W,53.6 W,0.0 RPM
2018-05-15_13:52:50,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.4 %,53.0 C,50.0 C,54.0 W,53.8 W,0.0 RPM
2018-05-15_13:52:51,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.8 %,53.0 C,50.0 C,54.0 W,53.8 W,0.0 RPM
2018-05-15_13:52:52,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.8 %,53.0 C,50.0 C,54.0 W,53.9 W,0.0 RPM
2018-05-15_13:52:53,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.4 %,53.0 C,51.0 C,54.0 W,53.8 W,0.0 RPM
2018-05-15_13:52:54,4200 MHz,3999.0 MHz,0 (N/A) run sudo,65.5 %,53.0 C,50.0 C,54.0 W,53.8 W,0.0 RPM
